1, 5, 49829, 32644129331
2, 85, 874546, 460052988735
  3, 80, 809976, 427587370095
    4, 40, 372428, 225818569490
      5, 5, 31652, 38674469204
      6, 20, 191501, 103190823041
        7, 5, 37046, 17365632807
        8, 5, 37275, 28829417333
        9, 5, 69449, 31298359613
      10, 10, 107104, 55994870240
        11, 5, 47930, 25881377523
    12, 5, 60652, 16437217240
    13, 30, 311174, 165875555656
      14, 15, 125176, 95464102744
        15, 5, 44654, 33101744028
        16, 5, 40746, 31431740040
      17, 10, 120282, 46319806883
        18, 5, 67641, 22950177153
19, 5, 60597, 24578657196
