1, 1, 9344, 9729466959
2, 1, 19550, 8796189448
3, 1, 1137, 8594315547
4, 1, 7676, 2384879662
5, 1, 12122, 3139277715
6, 2, 14397, 3180988472
7, 2, 4872, 7434023185
8, 2, 15705, 10552748723
9, 2, 11793, 8342562392
10, 2, 17803, 2955295868
11, 3, 19948, 1910316194
12, 3, 2843, 9664704777
13, 3, 18315, 765460316
14, 3, 14225, 2824087045
15, 3, 10391, 4291459377
16, 4, 10106, 4779598827
17, 4, 11024, 5055706363
18, 4, 4974, 9722713332
19, 4, 3919, 3545939075
20, 4, 12148, 4854449408
21, 5, 10111, 10436075798
22, 5, 6171, 8685636237
23, 5, 532, 4740670366
24, 5, 11120, 10712183126
25, 5, 3718, 4099903677
26, 6, 6577, 940827139
27, 6, 5284, 9937695048
28, 6, 8453, 8607654421
29, 6, 12586, 2841715922
30, 6, 14831, 3369520758
31, 7, 5624, 856327359
32, 7, 3495, 10595763845
33, 7, 7421, 2746077191
34, 7, 15744, 1382757551
35, 7, 4762, 1784706861
36, 8, 14076, 10731741705
37, 8, 6546, 3054397079
38, 8, 3914, 2875455624
39, 8, 5645, 6555649127
40, 8, 7094, 5612173798
41, 9, 9887, 3903146813
42, 9, 19142, 9762402267
43, 9, 9958, 5614148440
44, 9, 15232, 3786306784
45, 9, 15230, 8232355309
46, 10, 18597, 2492709793
47, 10, 13355, 5138468988
48, 10, 11309, 9089407926
49, 10, 13176, 7868043976
50, 10, 2737, 5524862034
51, 11, 6922, 1458882140
52, 11, 14305, 10034551160
53, 11, 6291, 10229621911
54, 11, 4057, 3833361043
55, 11, 16355, 324961269
56, 12, 4665, 1467442138
57, 12, 18810, 3537592042
58, 12, 834, 3364777582
59, 12, 16895, 5811315623
60, 12, 19448, 2256089855
61, 13, 12914, 9122945330
62, 13, 12803, 5530680283
63, 13, 10256, 2756938861
64, 13, 10038, 2484511916
65, 13, 19705, 4196569639
66, 14, 6780, 5204795748
67, 14, 4778, 5969615561
68, 14, 18350, 9022693454
69, 14, 1664, 9963151197
70, 14, 8204, 770362716
71, 15, 5177, 9626617610
72, 15, 10003, 3006074579
73, 15, 6495, 8990488654
74, 15, 10106, 3327095782
75, 15, 12873, 8151467403
76, 16, 4581, 2344456246
77, 16, 4705, 8059832049
78, 16, 16417, 2430558659
79, 16, 8704, 10263323164
80, 16, 6339, 8333569922
81, 17, 15168, 5873513716
82, 17, 10292, 7255762722
83, 17, 5011, 3851839502
84, 17, 11999, 4920998573
85, 17, 10171, 1467515217
86, 18, 19119, 6461085290
87, 18, 11640, 6822106182
88, 18, 10563, 1896627688
89, 18, 12796, 3219396166
90, 18, 13523, 4550961827
91, 19, 2138, 5681110141
92, 19, 11582, 2824532735
93, 19, 17153, 4151181071
94, 19, 10241, 3757191093
95, 19, 19483, 8164642156
